,ФК,ФК,ФК,ФК,ФК
,count,mean,std,amin,amax
ФК - реал,,,,,
6.448e-06,4,4.821167779523541e-06,4.512360694128418e-06,-7.96280061497412e-07,8.920579188988924e-06
1.2896e-05,3,1.210671300849791e-05,6.5737359042586585e-06,5.540214013707815e-06,1.8687661999859155e-05
2.5792e-05,1,3.561328213526639e-05,,3.561328213526639e-05,3.561328213526639e-05
5.1584e-05,2,5.774281983630632e-05,5.8853563775361685e-06,5.3581244432051e-05,6.190439524056164e-05
0.000103168,1,0.00010821815963553264,,0.00010821815963553264,0.00010821815963553264
0.000206336,2,0.00020639505912491173,4.362101556603454e-06,0.00020331058753401304,0.00020947953071581043
0.000412672,8,0.0004150842031640681,3.850232778805537e-06,0.00040959373344309535,0.00042158334810225926
0.000825344,8,0.0008236359313760925,1.3977763467098833e-05,0.0007992550707228748,0.0008410354527946787
