,ФК,ФК,ФК,ФК,ФК
,count,mean,std,amin,amax
ФК - реал,,,,,
6.448e-06,8,2.440019422874739e-06,4.79298136774098e-06,-7.1970001896199235e-06,8.43951076252348e-06
1.2896e-05,8,9.455177194141345e-06,4.502036943966992e-06,3.286901669024952e-06,1.8154931063111567e-05
2.5792e-05,8,2.9243086680110488e-05,5.116269211645642e-06,1.892198430334809e-05,3.557901024386503e-05
5.1584e-05,8,4.924541350534059e-05,6.209904465178817e-06,4.0525164963783176e-05,6.149594262362186e-05
0.000103168,8,9.781498609848616e-05,7.017416204875107e-06,8.791123528285012e-05,0.00010815551878472122
0.000206336,8,0.00020307385683929254,4.915297415088413e-06,0.00019483595265012068,0.00020983436484643193
0.000412672,8,0.0004153116709110192,4.060001596684073e-06,0.00041023169899948064,0.0004225968581592109
0.000825344,8,0.0008250962521693443,1.4247345420946525e-05,0.0007996686658671585,0.0008426651064364012
