 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72
1,62558.398,59630.125,59852.000,55436.500,52372.582,46493.250,37915.465,25876.334,62163.438,61737.562,61458.625,58384.812,54373.812,48184.375,38494.812,25482.188,61189.312,61035.250,60035.938,57944.375,54837.125,47455.812,37625.188,24829.250,60333.875,60777.000,60326.125,57137.938,54443.312,47708.562,37959.688,25121.312,59805.668,59486.332,60269.891,55928.109,51645.332,47486.777,38223.891,25372.334,58141.445,60402.891,57902.332,54131.332,52989.223,46687.832,37842.223,25183.666,55788.832,54259.082,53434.500,48568.000,50403.312,44048.188,34858.062,22339.111,55002.562,54031.812,52879.312,50046.500,46055.625,40705.812,31333.938,19590.625,1962.750,1870.312,2200.688,2020.938,63488.168,61809.109,61625.438,60567.223
2,62706.500,59792.375,61086.625,58166.168,56804.168,53862.000,50122.602,41801.082,62108.250,61776.000,62178.438,60853.500,59092.688,55893.875,50770.188,40838.938,60027.500,60116.250,59695.750,59540.812,58348.375,53735.438,48852.438,39738.250,57855.250,58501.938,58620.875,57338.500,56404.125,52980.125,47797.250,39233.000,54601.332,54467.777,55563.668,53137.555,50594.000,49811.445,45938.000,37280.555,47868.777,49772.332,48276.777,46354.109,47124.445,44745.168,41372.445,34027.555,37479.332,36085.332,36456.000,34462.500,36745.375,34572.125,31601.312,25439.666,26036.438,26175.375,25346.688,24625.312,24120.375,22902.250,20287.562,16624.688,2006.562,2001.500,2512.250,2078.875,64354.000,62403.445,62249.812,61007.109
3,63805.699,60679.500,62952.000,60625.168,60773.500,60271.000,60391.801,57615.418,63871.125,63862.750,64623.062,64435.188,63876.625,62793.688,61702.250,56763.688,62509.125,62940.188,62985.000,63843.500,63871.188,61112.375,60406.188,56527.062,61276.562,62297.375,63095.750,62612.188,62775.688,61652.438,60031.250,56791.875,60420.777,60546.555,62364.332,60659.109,59023.223,60257.668,60079.668,55820.668,57773.668,60556.555,58877.891,57442.223,60064.223,58690.668,58986.332,55884.668,54040.250,52038.332,52854.332,49203.500,56237.125,54354.938,53572.438,48613.223,50828.688,50191.688,49846.125,49181.312,48415.000,47930.062,45629.875,40632.688,1997.250,2029.812,2366.500,2183.062,65403.082,63288.445,63347.000,61885.777
