,БС,БС,БС,БС,БС
,count,mean,std,amin,amax
БС - реал,,,,,
1.2426e-06,8,-1.6542190529421645e-05,8.430630976418166e-06,-2.359694916275753e-05,-7.001351444888922e-07
2.4852e-06,8,-1.904177108342e-05,1.540028247732536e-05,-4.70381249764273e-05,1.3011649352943002e-06
4.905e-06,8,-1.5836701636727626e-05,1.2274848984256186e-05,-3.468320296822943e-05,-1.723214529498989e-06
9.81e-06,8,-6.071515167762751e-06,9.449466807508808e-06,-2.1368175214774038e-05,9.92529469246738e-06
1.962e-05,8,1.634429987719811e-05,6.351793062602815e-06,3.715964387220813e-06,2.3810264921598335e-05
3.924e-05,8,3.452527945469786e-05,8.453471978307272e-06,1.9068848290033437e-05,4.593671432229456e-05
7.848e-05,8,7.602430442737475e-05,4.930360426999073e-06,6.913981092909384e-05,8.262530443012368e-05
0.00015696,8,0.0001475686108627275,8.35523835214256e-06,0.00013457686573211872,0.00016195682060678526
