 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72
1,59739.109,58661.332,58462.250,58126.000,58640.000,54561.332,53885.891,49298.582,60481.375,57979.750,60763.438,58799.125,59395.375,56526.875,54000.125,47935.562,61697.875,59246.438,59958.250,59713.188,59154.875,57469.562,53962.625,46875.812,60223.000,61163.125,60612.625,60426.125,59420.875,58238.562,54926.750,47384.125,59921.332,59900.500,61365.250,59825.582,60347.332,56713.250,55859.500,49229.500,61409.332,61699.125,61624.668,61612.000,61124.168,58338.832,54656.000,49706.125,59336.668,58547.000,54178.223,55295.500,56816.750,54176.750,51713.125,43664.250,57367.562,57192.688,56606.438,56558.125,56257.000,54477.188,50770.312,44288.062,2061.000,1890.500,2269.062,1996.812,60533.445,52157.668,59387.250,58432.500
2,60410.223,58582.500,58932.250,58956.668,60140.168,56979.168,58256.109,56540.418,61083.188,58840.812,61565.312,59777.188,61314.000,59425.688,58473.188,55405.125,61714.375,59390.312,60063.562,60118.812,60246.875,59856.500,57836.562,53505.438,60148.875,60898.500,60428.812,60819.188,60276.938,60259.938,58883.312,53801.625,59202.668,58991.668,60534.875,59371.332,60591.168,58149.125,59265.000,55199.332,59147.500,59488.000,59501.668,59939.832,59769.832,57767.168,56145.668,54501.375,53888.832,53183.332,49146.891,50857.000,53126.582,51410.500,50746.000,45872.582,46548.000,47003.438,46045.625,46600.750,46934.125,46230.938,44745.188,41892.625,2222.125,2110.562,2544.875,2358.062,60814.445,51149.832,59920.168,58359.500
3,61016.109,58520.500,59225.750,59613.668,61570.000,58939.168,61550.668,61851.918,61608.188,59282.375,62456.188,60629.188,63185.375,61581.375,61582.000,60765.312,62589.812,60320.188,61186.875,61730.688,62450.875,62666.438,61585.750,58994.938,61185.938,62261.812,61880.625,62686.000,62591.000,63233.312,63024.375,59291.375,60695.168,60406.332,62981.000,61522.332,63658.832,61488.500,63858.301,61719.500,61927.332,62984.500,63054.000,63808.832,63983.168,62075.000,61799.223,62486.750,59991.750,59114.668,54111.109,56537.500,59757.168,58432.668,58490.125,54047.332,57087.875,57206.750,56093.688,56592.500,57573.750,57517.500,56246.250,54132.688,1859.312,1852.062,2310.562,2095.000,61580.777,57401.668,60619.332,58303.000
