,БС,БС,БС,БС,БС
,count,mean,std,amin,amax
БС - реал,,,,,
1.2426e-06,8,1.643051819791289e-07,5.281851099856918e-06,-8.077984842032044e-06,6.9917770695461e-06
2.4852e-06,8,4.714088822732528e-06,5.783374730334053e-06,-5.069905943982448e-06,1.1824205117493554e-05
4.905e-06,8,4.97650108822417e-06,4.070238318148997e-06,-1.523403886566344e-06,1.0005600410013684e-05
9.81e-06,6,1.3577218440825613e-05,4.48556717570245e-06,8.196928327161019e-06,1.9827058835755226e-05
1.962e-05,8,2.351837424964099e-05,3.5085048543580586e-06,1.6978905371346767e-05,2.6985292398887746e-05
3.924e-05,8,4.615098171660346e-05,2.8171254999533982e-06,4.0645462854010715e-05,4.9716350395990045e-05
7.848e-05,8,8.816429166390034e-05,4.032994802710328e-06,8.016341055477029e-05,9.33205496602158e-05
0.00015696,6,0.00014361430469712853,4.250432576673251e-06,0.00013733097922066778,0.00014994258975257416
