 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72
1,62761.000,59951.750,60069.500,55655.168,52447.332,46318.875,38142.801,25987.334,62425.375,61908.250,61672.688,58503.938,54489.625,48270.562,38571.625,25483.625,61368.562,61127.750,60184.812,58146.438,54979.250,47600.188,37794.312,24911.188,60583.000,60883.875,60560.688,57270.688,54590.688,47837.375,38041.062,25239.062,59891.445,59555.000,60455.555,56125.445,51806.777,47601.332,38249.332,25335.889,58178.891,60691.555,58271.000,54308.555,53231.445,46986.332,37942.668,25210.777,56179.918,54562.250,53534.168,48841.500,50458.500,44144.000,34881.125,22317.555,55032.688,54092.688,53050.000,50198.875,46228.438,40784.625,31340.000,19664.062,2059.000,1849.250,2237.188,2119.000,63597.918,61753.555,61652.500,60792.332
2,63045.500,60349.875,61259.250,58604.168,57113.500,53872.250,50217.199,41878.582,62331.562,62011.188,62424.125,61092.875,59232.438,56126.312,50897.500,40995.000,60154.750,60233.500,59870.938,59690.375,58444.562,53846.875,49013.938,39794.812,58029.812,58644.812,58911.500,57467.188,56596.125,53099.062,47942.812,39255.688,54760.223,54589.445,55732.668,53362.445,50948.555,50105.332,46047.668,37398.223,48055.332,49945.668,48652.555,46588.668,47359.000,45121.500,41530.332,34225.223,37627.332,36534.582,36571.000,34642.500,36725.250,34679.438,31600.812,25440.223,26076.625,26119.875,25420.312,24677.625,24158.688,22984.312,20316.438,16695.188,2236.188,2063.312,2577.812,2372.812,64422.168,62530.000,62358.500,61359.555
3,64181.199,61438.375,63246.000,61069.000,61132.582,60279.625,60615.668,57729.832,64232.812,64089.375,64879.812,64777.625,64158.625,63168.688,61896.188,57078.250,62735.188,63136.938,63240.562,64093.750,64103.625,61319.812,60653.938,56654.812,61529.688,62631.625,63336.250,62899.125,63000.938,61914.875,60225.688,57114.938,60635.891,60798.332,62643.777,60963.445,59322.555,60581.555,60248.332,55862.777,57909.109,60831.445,59318.555,57734.332,60385.555,58930.668,59226.555,56082.668,54329.168,52620.250,53059.000,49745.500,56426.812,54581.125,53783.000,48659.445,50873.438,50257.625,49973.688,49262.312,48559.625,48094.562,45761.625,40772.312,2264.312,2195.625,2509.812,2332.062,65459.168,63526.668,63532.625,62089.668
