 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72
1,58741.125,58988.332,57333.250,56438.500,55697.500,48273.832,48015.109,38539.445,60819.668,56902.535,59797.398,57876.465,57333.133,52995.801,47880.801,37769.734,60903.750,58891.250,59009.875,58609.625,57206.125,53677.312,47512.250,36853.750,59605.375,60852.625,59926.188,57657.875,56970.688,53959.250,45819.938,36266.250,59540.891,59319.000,60789.250,58116.801,58019.332,53080.445,47865.801,39178.500,59779.250,60939.125,60151.168,59154.699,57445.082,54416.832,47435.082,38994.500,58479.332,57143.168,52262.000,50769.500,54336.250,50276.312,45361.688,34041.668,54641.438,54809.250,54188.625,53070.188,52228.250,49428.625,42956.312,33076.812,1631.938,1725.750,2063.000,1889.062,60181.500,59357.168,60095.332,57540.668
2,58984.750,59459.332,57753.000,57900.500,58351.500,51557.168,55135.223,50095.668,61057.801,56986.602,60230.133,59167.668,59932.332,57032.602,54902.332,49276.668,60253.000,58907.375,59012.375,59514.750,59128.812,57353.688,53978.688,47723.438,58676.250,59981.625,59386.562,58043.188,58353.125,57019.188,51664.875,46304.438,57222.332,57242.500,58645.000,56762.199,57845.832,54541.777,52474.867,48162.168,54618.168,55654.250,55091.500,54948.500,54192.832,53198.500,49280.582,46242.500,47691.109,46939.000,43062.000,42289.500,46527.875,44317.312,42757.125,36248.777,36616.625,36956.875,36427.688,36544.188,36756.875,35959.438,33237.812,29711.812,1895.188,1837.312,2314.375,2065.000,60491.875,60075.000,60658.000,58294.332
3,59150.375,60159.668,58250.250,58915.332,60382.500,53384.332,60595.445,58893.891,61876.801,57610.066,61368.266,60732.332,62451.398,60080.801,60401.734,58718.199,61758.188,59927.500,60642.750,61728.625,62213.125,61468.312,60159.312,57000.000,60123.250,61910.688,61492.500,60707.188,61810.062,61580.188,58058.125,55404.812,59948.000,60135.500,62143.750,60536.801,62783.832,60249.668,60197.465,59186.332,59885.000,61620.625,61003.832,61271.000,61449.582,61266.168,58977.000,59530.625,57786.777,56372.332,51535.332,50873.000,57639.062,55677.188,55686.312,50017.891,52834.188,53191.062,52786.750,52855.938,53798.125,53625.938,51532.312,48684.000,1871.875,1922.938,2245.938,1989.938,61284.312,60859.332,61363.750,58590.668
