 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72
1,60607.582,58507.418,56198.223,51781.500,46685.777,37055.668,25347.000,15084.444,60307.500,57738.812,58247.188,53206.625,46546.562,37077.062,25132.000,14868.750,59093.812,56073.688,56398.562,49721.688,46121.562,37421.812,24116.500,14412.062,57223.625,56900.625,57726.250,52217.812,46282.000,37165.562,24407.938,14520.125,57913.109,55130.332,56011.918,51479.668,46042.168,35798.750,24471.916,14690.583,57370.000,55749.000,55027.891,49974.332,44949.375,34723.500,24488.584,14530.083,53237.918,51053.000,47979.000,2184.062,40291.438,31802.125,20958.188,1944.062,49484.875,48403.938,45725.250,1707.062,35912.699,29845.699,19856.949,1839.350,2202.400,1915.400,2313.350,1868.050,63232.250,61285.668,60829.199,2121.389
2,60318.832,58768.500,57797.445,56023.250,54001.223,48573.668,40472.000,28839.111,59269.312,57074.938,58540.438,56985.625,53401.750,48292.062,39752.188,28101.875,56498.000,54092.438,55376.062,52809.688,51427.062,47222.500,37542.812,26539.125,52440.438,52329.500,54036.375,51565.938,48871.125,44885.625,36145.438,25905.375,47559.555,45818.582,47061.250,45828.668,43914.750,38987.668,32898.418,24116.584,39118.500,38032.918,38597.332,37192.500,35832.125,31717.166,27840.750,20411.750,26379.500,25336.500,24290.223,2537.812,23319.562,21388.438,17905.812,2272.562,16007.875,15928.188,15249.625,1962.000,14079.450,13482.000,11654.250,2034.350,2385.000,2246.750,2642.850,2269.050,63829.750,61902.832,61368.000,2574.667
3,62185.918,61277.832,61074.891,60935.250,61366.332,59477.668,56378.582,50454.555,62015.688,59927.562,62019.438,62885.500,61562.250,60075.875,56457.562,50414.125,60318.312,58496.688,60741.312,60589.688,60715.688,59523.250,55180.938,48705.375,59112.062,59141.125,61746.500,60716.000,60297.250,59397.688,55354.562,49794.875,58008.555,56316.332,58706.918,58843.832,58678.000,56382.750,54503.918,48714.168,55598.418,54743.418,56251.891,55630.168,56054.250,53591.832,51951.918,46846.500,49215.082,47691.250,45674.332,2583.312,48073.188,46752.750,43741.375,2171.438,41360.875,40994.250,39758.938,1816.562,38882.801,40317.949,37451.102,2366.350,2280.500,2099.550,2649.600,2166.250,64864.801,62716.832,62229.934,2559.778
