 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72
1,60360.500,58197.332,55942.777,51583.250,46359.445,36956.332,25226.250,15081.000,60139.750,57702.438,58154.188,53057.938,46520.125,37034.562,24968.188,14829.062,58989.938,55854.562,56189.938,49484.625,45977.438,37222.125,24077.125,14286.062,57010.375,56689.500,57441.125,52048.312,46159.750,37029.000,24319.562,14441.625,57626.223,54827.000,55678.668,51138.668,45787.168,35560.418,24342.416,14578.667,57057.500,55561.082,54792.000,49952.332,44825.000,34667.168,24380.834,14351.167,53087.582,50905.250,47719.109,2060.625,40247.312,31702.375,20871.188,1860.938,49247.375,48161.375,45521.312,1406.438,35791.551,29817.400,19782.250,1676.200,1953.600,1886.800,2185.550,1991.700,63091.199,61176.000,60596.000,2171.500
2,60105.668,58521.582,57464.891,55921.750,53744.109,48344.668,40248.668,28698.000,59129.812,56919.750,58477.875,56785.438,53251.312,48080.688,39629.938,28037.812,56331.375,53879.812,55213.750,52623.938,51218.938,47102.875,37464.750,26499.688,52352.000,52096.375,53822.188,51397.625,48672.812,44742.812,36046.438,25893.562,47405.000,45646.000,46940.082,45699.082,43802.000,38893.750,32775.000,24003.666,39117.500,37962.082,38501.668,37255.168,35705.125,31743.000,27710.666,20372.000,26270.250,25289.834,24096.555,2355.812,23253.438,21343.250,17816.500,2153.938,15990.438,15894.812,15197.062,1778.062,14046.750,13430.750,11645.050,1979.750,2294.100,2063.600,2650.050,2211.650,63632.500,61693.668,61185.668,2579.778
3,61839.250,60972.500,60747.891,60642.000,61139.891,59415.332,56300.582,50324.445,61627.500,59737.750,61831.438,62541.688,61325.938,59804.625,56245.125,50209.500,60064.312,58255.750,60437.750,60331.812,60488.875,59394.250,55021.688,48533.750,58955.938,58971.562,61545.188,60515.375,60050.188,59215.750,55307.250,49609.938,57714.109,56143.918,58436.250,58657.918,58421.750,56191.500,54250.750,48508.000,55487.168,54568.500,55899.223,55475.168,55888.750,53344.668,51817.332,46806.500,49072.332,47750.918,45579.555,2438.188,47986.000,46578.875,43603.875,2068.125,41243.688,40898.188,39619.625,1583.938,38757.449,40194.801,37421.051,2122.450,2272.750,1864.950,2422.600,2046.000,64799.301,62691.832,62063.734,2314.278
