 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72
1,62676.500,59996.875,60045.625,55010.168,52352.668,46375.625,38038.465,25939.834,62231.688,61775.312,61566.125,58456.750,54371.375,48114.250,38423.125,25472.875,61323.688,61122.000,60187.938,58052.875,54870.938,47525.438,37617.438,24853.812,60585.062,60854.688,60425.750,57272.750,54502.750,47752.562,38046.938,25232.875,59960.000,59577.332,60464.000,56115.000,51931.891,47661.891,38226.332,25302.111,58175.555,60576.000,58150.668,54405.555,53167.445,46943.832,37956.668,25113.111,56130.750,54561.250,53526.832,48691.500,50376.312,44038.938,34886.875,22336.889,55123.000,54085.188,53059.062,50209.000,46267.938,40853.250,31423.438,19567.312,1990.375,1942.562,2154.375,1913.500,63640.500,61750.555,61628.688,60679.223
2,62904.898,60170.875,61079.625,57795.668,56841.918,53856.000,50133.133,41734.582,62170.500,61865.375,62290.750,60891.250,59092.688,55877.312,50751.938,40920.562,60078.250,60198.750,59789.562,59627.438,58304.500,53749.500,48868.250,39704.250,58003.125,58631.875,58716.875,57390.125,56557.000,53005.062,47845.375,39235.750,54673.668,54489.000,55629.777,53271.000,50879.555,50047.668,45963.668,37237.777,47897.668,49874.109,48601.891,46698.223,47217.445,44909.332,41376.445,34110.109,37599.418,36331.082,36499.668,34651.500,36645.438,34598.500,31590.812,25388.555,26019.375,26193.188,25340.312,24711.062,24149.000,22955.625,20378.000,16582.438,2116.750,2153.500,2491.688,2326.500,64353.832,62454.555,62339.688,61360.891
3,64217.199,61470.625,63066.500,60305.832,61065.332,60307.125,60509.066,57641.332,64063.250,64018.875,64841.625,64617.375,63976.312,63010.875,61792.438,56923.812,62591.188,63128.375,63166.500,64006.812,63925.188,61163.125,60423.188,56475.625,61507.750,62465.125,63125.625,62685.312,62918.188,61832.625,60060.438,56920.125,60562.555,60627.445,62564.332,60862.555,59241.445,60565.777,60105.777,55838.445,57904.777,60829.223,59376.668,58084.668,60349.777,59011.168,59122.555,55924.891,54326.918,52595.082,52917.332,49787.000,56286.312,54506.312,53734.938,48587.000,50883.500,50202.625,49832.125,49281.812,48547.062,48052.375,45700.938,40749.438,2175.812,2084.062,2560.750,2280.250,65446.582,63569.223,63507.562,62220.891
