,БС,БС,БС,БС,БС
,count,mean,std,amin,amax
БС - реал,,,,,
1.2426e-06,2,-1.984551867346308e-06,1.7537650741911677e-06,-3.2246510439150118e-06,-7.44452690777605e-07
2.4852e-06,3,-3.8268188393649904e-07,1.9666509908206407e-06,-2.6370359542478826e-06,9.814168976855745e-07
4.905e-06,3,2.8396125699880873e-06,1.3348740694588534e-06,1.945094888370864e-06,4.373962653181279e-06
9.81e-06,3,1.0104513103899177e-05,9.69542163444353e-07,9.121446100665625e-06,1.1059939327016743e-05
1.962e-05,2,2.2068486720325725e-05,8.176847920500965e-07,2.149029625899399e-05,2.2646677181657462e-05
3.924e-05,4,3.9940726636985154e-05,1.3351216692517118e-06,3.857563054844272e-05,4.120646455588422e-05
7.848e-05,4,8.073248166710144e-05,2.9606170954756483e-06,7.746066543524308e-05,8.442102703973953e-05
0.00015696,8,0.0001560513001858485,4.3262703178940155e-06,0.0001490947584264681,0.00016203915640721763
