 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72
1,58845.500,59436.668,57150.000,56820.832,56048.000,47486.500,47886.223,38724.332,60780.066,56641.867,59714.066,57695.801,57089.199,52714.465,47810.602,37706.867,60764.750,58836.625,58878.562,58541.562,57114.500,53566.688,47466.625,36801.750,59742.500,60760.688,59744.625,57961.938,56885.125,53828.938,45777.062,36331.625,59434.555,59164.000,60460.000,57804.102,57765.918,52889.891,47734.066,39006.500,59869.668,60685.125,59783.168,59243.500,57412.918,54360.668,47487.582,38968.375,58324.668,56740.668,52191.500,51010.500,54256.688,50072.250,45215.062,33828.555,54657.250,54667.375,54099.875,53134.688,52214.188,49384.375,42909.125,33049.438,1925.625,1816.625,2096.062,1862.438,59912.312,59387.500,59868.832,57677.668
2,59015.875,59600.000,57834.250,58277.500,58752.500,50495.000,55279.332,50232.668,60917.734,56749.734,59935.668,58879.734,59861.465,56630.734,54958.668,49231.734,60138.938,58795.938,58889.688,59382.875,59047.750,57173.562,53960.875,47639.875,58839.125,59899.562,59143.875,58284.188,58296.438,56898.438,51615.188,46343.125,57064.000,56903.375,58339.000,56591.602,57676.918,54385.332,52302.934,48147.168,54484.000,55458.250,54821.832,54802.699,54048.082,52787.168,49275.082,46197.875,47659.555,46668.000,43050.168,42501.000,46492.812,44084.250,42644.562,35997.891,36565.125,36977.875,36376.062,36585.125,36740.062,35983.188,33210.250,29695.500,2090.438,1911.375,2344.875,2127.000,60284.500,60233.500,60428.332,58059.332
3,58966.000,60169.668,58266.750,59308.000,60786.500,52155.332,60601.777,59193.000,61548.801,57298.801,60923.266,60400.934,62308.266,59504.801,60451.266,58599.000,61555.812,59785.562,60414.125,61534.625,62053.562,61143.062,59926.688,56898.188,60343.312,61834.938,61288.500,60990.250,61712.250,61435.750,58017.062,55486.688,59817.332,59759.750,61866.500,60415.699,62593.168,59957.109,60010.734,59147.668,59814.168,61353.625,60839.500,61258.000,61315.000,61024.668,58969.668,59586.875,57709.445,55930.500,51599.832,50681.000,57540.500,55315.000,55543.688,49509.332,52658.625,53016.688,52576.750,52806.438,53762.000,53651.312,51552.000,48689.750,1848.438,1798.688,2237.062,1926.688,60994.875,60908.832,61108.832,58644.000
