,БС,БС,БС,БС,БС
,count,mean,std,amin,amax
БС - реал,,,,,
4.905e-06,1,3.7165480505463273e-06,,3.7165480505463273e-06,3.7165480505463273e-06
9.81e-06,1,8.975769311501725e-06,,8.975769311501725e-06,8.975769311501725e-06
3.924e-05,2,3.9236496829020045e-05,7.124842338074645e-07,3.8732694395806285e-05,3.9740299262233805e-05
7.848e-05,2,7.571683985542711e-05,5.109798492848071e-06,7.210366669063744e-05,7.933001302021678e-05
0.00015696,2,0.00015822732947495493,1.716165035978827e-06,0.00015701381754037905,0.0001594408414095308
