 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72
1,60445.000,58268.918,56417.555,51579.500,46518.777,37120.332,25318.916,15123.333,59884.875,57423.188,57876.625,52926.375,46432.438,36963.312,24972.875,14780.000,58761.188,55856.125,56110.000,49424.062,45983.938,37114.938,24037.938,14355.750,56755.188,56600.562,57440.562,52010.750,46186.438,37065.062,24352.812,14496.500,57615.332,54882.082,55567.000,51179.750,45719.168,35577.082,24441.334,14640.083,56847.000,55390.832,54737.777,49752.668,44770.500,34716.168,24451.916,14368.417,53004.832,50977.582,47783.668,2133.125,40201.438,31775.688,20874.125,1841.750,49191.438,48143.688,45425.625,1550.688,35783.551,29765.449,19837.600,1785.700,2054.100,1902.100,2072.900,1843.550,62947.449,61241.832,60560.266,1966.222
2,59979.332,58405.582,57913.332,55800.000,54003.668,48376.000,40328.832,28705.111,59055.500,56763.688,58238.250,56837.750,53201.125,48141.312,39651.250,27995.562,56139.375,53851.438,55150.875,52512.938,51143.250,47040.688,37444.625,26528.688,52090.688,51959.062,53757.438,51343.125,48664.500,44724.000,35944.125,25849.188,47429.223,45640.668,46787.582,45611.082,43653.500,38822.000,32744.834,24041.750,38923.250,37745.168,38310.223,37067.500,35608.375,31589.334,27648.834,20330.334,26233.416,25236.084,24194.000,2354.875,23305.562,21368.250,17895.250,2229.875,16000.562,15882.188,15197.500,1805.875,14014.050,13439.000,11648.500,1961.300,2266.600,2089.350,2539.900,2311.850,63437.102,61489.000,61122.199,2548.611
3,61706.918,60758.832,61080.445,60527.250,61195.000,59410.000,56112.000,50296.555,61520.750,59372.000,61471.500,62573.375,61299.875,59795.688,56137.062,50152.375,59901.688,58218.125,60319.500,60265.688,60349.750,59272.812,54918.000,48436.250,58623.312,58776.625,61457.062,60372.938,59976.750,59122.625,55037.438,49549.688,57834.109,56097.918,58274.668,58543.082,58262.418,56048.582,54050.332,48558.918,55274.918,54362.668,55883.777,55346.668,55738.625,53346.668,51628.918,46515.332,48927.082,47664.418,45549.109,2327.000,47908.625,46493.938,43657.875,2098.812,41205.875,40898.625,39557.875,1685.438,38695.102,40154.852,37399.699,2122.250,2131.850,1977.750,2179.100,2062.200,64484.051,62371.668,61907.398,2292.444
