 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72
1,58503.875,59567.668,57215.750,56708.668,56210.000,46598.332,47910.332,38812.000,60618.133,56421.867,59326.266,57439.398,57079.934,52217.000,47869.934,37687.668,60698.500,58735.875,58655.625,58455.750,57109.438,53477.000,47400.000,36819.062,59740.688,60830.062,59717.250,58279.312,56967.875,53792.438,45887.500,36401.750,59395.223,59170.625,60412.375,57893.102,57807.082,52923.777,47747.934,39177.500,59784.750,60597.750,59577.832,58905.102,57209.000,54145.500,47439.668,38771.750,58015.223,56559.832,52323.332,50795.500,54283.250,49730.125,45278.438,33603.777,54522.062,54558.188,54001.438,53116.375,52194.250,49482.000,43067.625,33119.438,1714.875,1731.500,2118.000,1830.625,59765.000,59459.668,59897.418,57594.332
2,58699.250,59569.000,57730.250,58215.000,59013.500,49478.000,55327.777,50372.223,60690.934,56549.398,59506.465,58664.398,59777.199,56119.867,55022.066,49226.465,60195.375,58707.625,58745.188,59314.688,59046.938,57060.812,53919.312,47664.188,58801.938,59895.688,59100.375,58583.625,58342.625,56921.812,51762.312,46463.562,57155.555,56989.875,58449.625,56736.699,57836.832,54482.223,52456.734,48166.332,54419.332,55298.250,54784.832,54598.500,54006.500,52793.000,49252.418,46173.750,47456.668,46358.000,43124.332,41998.500,46528.500,43821.188,42647.562,35765.891,36521.688,36943.938,36324.375,36611.500,36781.250,35997.438,33337.875,29658.062,1949.312,1963.000,2317.562,2149.375,60115.875,60092.832,60593.582,58228.000
3,58589.250,60037.668,58101.250,59268.168,61200.000,50860.000,60664.000,59245.555,61185.066,56939.000,60271.801,60008.734,62210.199,58909.465,60466.734,58541.867,61530.000,59779.438,60284.625,61411.188,62115.938,60998.938,59965.625,56898.688,60310.688,61794.125,61141.750,61279.938,61759.125,61399.750,58197.812,55593.188,59799.223,59750.750,61843.750,60410.301,62641.668,60031.109,60107.668,59135.168,59520.000,61063.375,60617.000,60758.199,61060.582,60756.000,58761.000,59449.000,57313.668,55372.332,51522.500,50190.000,57507.062,54814.062,55541.062,48994.332,52609.438,52971.125,52568.062,52840.812,53751.312,53661.188,51670.875,48587.375,1576.000,1793.000,2076.312,1949.000,60662.875,60821.500,61340.832,58720.332
