 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72
1,60653.418,58581.168,56908.000,51686.000,46780.332,36972.000,25359.166,15065.777,60019.562,57214.375,57792.562,53119.688,46500.625,37079.000,25098.500,14856.000,58812.062,55965.688,56225.250,49495.438,45968.438,37196.062,24079.250,14332.688,56677.125,56657.875,57604.125,52127.688,46121.938,37057.500,24245.750,14509.812,57738.445,55239.418,55633.332,51318.750,45842.332,35618.582,24445.750,14718.417,56921.168,55316.500,54805.223,49756.832,44792.375,34539.168,24508.084,14362.750,53041.168,51055.668,47896.777,2079.375,40238.500,31857.875,20956.438,1899.000,49269.812,48198.938,45513.625,1576.125,35852.699,29751.250,19775.100,1743.000,2060.650,1942.650,2040.200,1871.500,62881.602,61196.832,60700.199,2228.889
2,60266.750,58608.168,58256.777,55928.750,54046.445,48427.332,40282.582,28785.223,58984.000,56434.188,57943.125,56915.438,53315.438,48177.375,39648.375,28071.062,56117.250,54106.000,55336.875,52570.188,51201.438,47128.500,37506.312,26563.375,51986.062,52142.812,53823.000,51443.500,48751.375,44823.438,35944.125,25817.312,47452.000,45750.332,46867.000,45717.918,43815.332,38863.750,32832.418,24189.416,38943.082,37767.918,38413.668,37132.832,35737.000,31709.000,27705.416,20259.500,26226.584,25254.416,24178.111,2597.500,23307.438,21363.188,17925.312,2086.688,16014.438,15858.688,15180.062,1766.312,14091.700,13443.750,11649.500,2029.050,2425.100,2217.500,2481.400,2150.400,63365.250,61752.168,61285.867,2489.222
3,61834.332,60866.082,61534.555,60486.750,61369.891,59252.332,56188.168,50387.777,61478.938,59102.688,61023.875,62721.812,61377.188,59836.750,56230.000,50231.750,59971.000,58426.188,60526.000,60228.875,60365.062,59350.312,54976.438,48507.812,58545.938,58961.812,61522.812,60486.312,60045.375,59213.250,55010.688,49547.625,57620.777,56226.332,58312.918,58666.500,58442.750,56088.832,54206.082,48691.582,54988.000,54042.332,55797.445,55307.832,55628.500,53174.000,51611.500,46425.918,48776.500,47473.500,45630.223,2391.688,47896.688,46577.688,43796.062,2021.562,41285.062,40906.062,39598.875,1708.562,38791.352,40206.949,37411.449,2091.050,2271.900,2197.700,2341.500,2170.450,64332.898,62325.332,62016.066,2439.778
