,БС,БС,БС,БС,БС
,count,mean,std,amin,amax
БС - реал,,,,,
1.2426e-06,8,-2.7710922044168763e-06,1.2813627065744859e-06,-3.991023181031411e-06,1.6410995120509694e-07
2.4852e-06,8,-7.12032829056292e-07,1.4289684519606593e-06,-2.191016589926195e-06,1.3936881400731202e-06
4.905e-06,8,2.141213524312116e-06,1.404639071108657e-06,4.1404346900983236e-07,4.7301353720320515e-06
9.81e-06,8,1.0075058271772731e-05,1.4261515058267844e-06,7.064572280543041e-06,1.178714629048297e-05
1.962e-05,8,2.1860131888236132e-05,1.3387959111495044e-06,1.8967964134802448e-05,2.2966988414704918e-05
3.924e-05,8,4.017206503865213e-05,1.531600141521922e-06,3.810419625847842e-05,4.1850316443674874e-05
7.848e-05,8,8.009062408861053e-05,2.0360551201137795e-06,7.72278572563019e-05,8.395989232272216e-05
0.00015696,8,0.0001553082617041619,4.406624275806716e-06,0.0001483192341813289,0.00016187762963045159
