,ФК,ФК,ФК,ФК,ФК
,count,mean,std,amin,amax
ФК - реал,,,,,
6.448e-06,8,8.281283352096009e-06,2.37942853452255e-06,4.610453703483445e-06,1.0611793886383394e-05
1.2896e-05,8,1.3103659755619912e-05,3.3861773581567516e-06,7.755882663973917e-06,1.7976060017039216e-05
2.5792e-05,8,3.231182150404127e-05,2.884667119577962e-06,2.8491840837231092e-05,3.656426672612264e-05
5.1584e-05,8,5.5822857983424e-05,2.6041766081527546e-06,5.2112316241589886e-05,6.055779066005549e-05
0.000103168,8,0.00010982152208312312,3.7638593674136754e-06,0.00010187819443363075,0.00011449690291364563
0.000206336,8,0.00021527114314019003,6.072447490440968e-06,0.00020647464242440428,0.00022056831255007296
0.000412672,8,0.0004350611777908834,1.1009075376594146e-05,0.0004195064794176413,0.00044975686348210894
0.000825344,8,0.0008088307217252344,1.904874597961636e-05,0.0007689077163617738,0.0008279627908634409
