,ФК,ФК,ФК,ФК,ФК
,count,mean,std,amin,amax
ФК - реал,,,,,
6.448e-06,8,5.5839044909048845e-06,1.3902004393044903e-05,-1.8997222996479715e-05,1.8760294714686625e-05
1.2896e-05,8,1.2104579123928403e-05,1.6081630707001526e-05,-1.246834695795671e-05,3.2691092192728294e-05
2.5792e-05,8,3.387310165604374e-05,1.7694225687371613e-05,9.623286609467034e-06,5.461039874520704e-05
5.1584e-05,8,6.152054444175659e-05,1.635039925219807e-05,3.786938979867931e-05,8.010852598923883e-05
0.000103168,8,0.00012612951907347,1.7391469601497276e-05,9.655738063201614e-05,0.00015014752818614854
0.000206336,8,0.00024009764231134857,2.121008460198776e-05,0.00020249895797140707,0.00026778123030188426
0.000412672,6,0.0004727491961312936,2.5674007880058675e-05,0.000433679717216063,0.0005018838170084903
0.000825344,6,0.0007629040403950388,3.044509502643429e-05,0.0007112004114055815,0.0007919148351768048
