 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72
1,60686.582,58510.418,56735.445,51640.250,46737.332,37073.000,25405.750,15138.556,60159.688,57429.500,58069.000,53230.125,46576.875,37125.688,25027.062,14839.062,58930.125,55972.812,56278.125,49572.938,46037.125,37327.750,24118.812,14379.500,56833.000,56740.250,57635.938,52204.500,46278.812,37179.188,24382.688,14567.188,58035.109,55205.168,55753.168,51357.918,45911.832,35644.418,24514.916,14761.417,57201.418,55438.832,54994.109,49967.668,44892.625,34639.168,24569.416,14439.083,53154.082,51135.082,47947.445,2140.875,40227.750,31840.938,21030.000,1876.000,49354.562,48304.562,45636.875,1606.188,35896.699,29855.150,19890.750,1843.650,2089.650,2040.900,2254.200,1865.300,63140.301,61225.000,60822.133,2221.611
2,60352.250,58684.082,58230.000,55970.250,54091.223,48461.332,40449.168,28812.777,59190.438,56751.625,58252.062,56944.812,53341.125,48259.750,39742.312,28085.188,56219.500,54015.062,55355.250,52615.500,51283.500,47199.812,37545.125,26541.875,52180.812,52106.562,53934.688,51443.312,48836.438,44864.688,36031.938,25906.688,47541.223,45788.168,46905.582,45749.582,43837.750,38807.832,32927.082,24183.084,38951.668,37862.332,38528.777,37202.168,35845.750,31758.334,27786.250,20326.750,26230.084,25306.166,24227.777,2592.062,23344.562,21372.562,17956.625,2270.125,16056.438,15912.250,15226.250,1952.438,14079.000,13493.100,11699.750,2051.700,2455.200,2206.100,2708.650,2295.750,63526.602,61728.332,61292.801,2754.333
3,62107.582,61063.500,61435.777,60784.000,61417.777,59559.668,56311.418,50495.109,61772.938,59504.875,61548.812,62880.875,61436.000,60036.688,56360.438,50295.125,60105.000,58476.250,60649.562,60440.000,60562.312,59494.125,55109.688,48642.000,58820.688,59071.062,61716.688,60630.500,60239.625,59356.688,55180.250,49675.875,57973.445,56240.418,58437.668,58764.832,58525.168,56139.500,54231.418,48755.668,55399.668,54411.582,56087.891,55603.168,55896.125,53392.668,51804.832,46646.418,49101.750,47762.832,45654.668,2516.688,48019.938,46613.375,43788.875,2196.938,41351.562,41019.375,39722.188,1793.312,38823.449,40247.398,37527.051,2288.100,2433.250,2235.050,2638.950,2162.500,64549.250,62576.832,62043.867,2568.222
