 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72
1,62586.500,59616.750,59833.875,55586.332,52404.332,46402.375,38093.535,25920.084,62143.750,61615.562,61475.500,58364.438,54408.062,48104.000,38481.812,25429.000,61306.812,61074.938,60061.625,58067.812,54833.312,47472.062,37621.562,24803.688,60332.875,60655.250,60349.688,57096.438,54414.062,47674.000,37937.812,25155.625,59984.223,59588.000,60367.891,56078.000,51773.109,47559.777,38392.109,25395.111,58112.777,60605.223,58115.332,54161.445,53186.777,46771.332,37902.109,25223.555,56065.582,54406.750,53394.168,48678.000,50346.125,44087.000,34832.562,22311.777,55032.875,54082.125,52949.625,50096.625,45991,40697.188,31252.500,19625.500,1876.312,1839.188,1926.562,1825.750,63552.750,61731.445,61699.125,60613.445
2,62717.000,59941.625,61005.375,58113.000,56771.332,53878.125,50117.801,41747.832,62124.312,61746.312,62191.375,60829.438,59028.312,55882.812,50669.625,40889.938,59983.062,60084.062,59633.125,59547.750,58175.812,53678.750,48807.750,39662.375,57895.812,58400.812,58586.938,57356.938,56458.125,52943.812,47812.500,39208.188,54570.000,54481.332,55598.777,53240.332,50782.777,49870.000,45935.668,37309.109,47876.891,49712.891,48346.555,46390.668,47104.668,44851.000,41399.891,34096.332,37465.168,36216.250,36454.332,34467.500,36629.875,34557.875,31520.500,25311.555,26040.812,26084.438,25331.688,24620.125,24068,22902.750,20292.125,16672.375,2180.938,2117.438,2268.438,2217.562,64282.082,62327.332,62340.625,61121.445
3,63868.199,60842.875,62909.000,60890.168,60896.082,60131.625,60394.801,57373.332,63898.312,63851.875,64672.250,64568.125,63952.125,62850.188,61638.000,56789.312,62501.125,62953.438,63026.188,63939.000,63879.312,61131.500,60466.625,56532.500,61335.688,62349.125,63118.500,62650.062,62830.562,61743.812,60056.500,56844.688,60362.445,60549.000,62384.109,60679.777,58966.777,60241.000,60040.332,55696.668,57591.000,60639.555,58982.000,57520.000,60072.332,58657.500,58979.445,55884.555,53983.832,52220.250,52808.500,49206.500,56159.812,54330.125,53591.625,48595.555,50759.062,50115.000,49853.000,49195.688,48288,47953.812,45666.688,40717.188,1999.000,1845.750,2162.312,1995.500,65404.332,63441.555,63423.188,61787.109
