 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72
1,58845.125,59486.000,57417.750,56883.168,56390.500,47204.500,47977.223,38815.223,61034.934,56586.535,59773.066,57771.398,57284.602,52754.000,47998.465,37794.934,60779.375,58819.188,58891.562,58565.250,57178.438,53581.875,47448.938,36827.438,59608.688,60834.250,59840.500,58170.000,56960.438,53918.438,45864.188,36391.500,59533.000,59239.750,60661.750,57977.500,57943.668,53084.000,47881.266,39353.500,60008.332,61023.125,59877.332,59378.199,57491.500,54364.668,47579.000,39043.875,58409.555,56857.668,52327.832,51010.000,54406.562,50096.188,45386.625,33937.223,54625.812,54700.688,54157.438,53160.312,52302.250,49412.812,43058.625,33093.438,1729.500,1834.875,2024.750,2009.000,60124.938,59799.000,60122.332,57682.668
2,59002.000,59561.332,57760.500,58410.500,58909.500,50247.668,55454.891,50119.777,61028.066,56649.934,59901.602,58930.867,59857.801,56543.398,55103.465,49250.934,60166.812,58807.875,58855.125,59413.938,59094.812,57250.312,53942.875,47618.500,58622.562,59937.000,59221.625,58460.688,58317.188,56924.250,51700.750,46398.000,57229.668,57118.500,58588.125,56750.500,57886.332,54521.332,52551.266,48274.000,54580.168,55563.500,54965.500,54899.699,54142.668,53026.168,49374.418,46185.625,47638.000,46679.168,43152.668,42280.500,46618.375,44073.438,42799.125,35936.109,36476.812,36958.875,36408.688,36574.875,36801.375,36012.188,33254.125,29725.312,1823.500,1885.188,2419.438,2282.750,60407.250,60264.000,60717.832,58288.332
3,58999.250,60151.000,58359.250,59517.168,61185.000,51742.668,60779.000,59172.555,61585.000,57261.066,60859.602,60400.266,62527.199,59399.801,60539.266,58633.465,61649.562,59946.500,60504.438,61612.312,62147.062,61253.000,60057.562,56969.688,60139.188,61874.500,61306.312,61201.375,61765.812,61578.500,58133.250,55520.188,59829.668,59927.375,62051.500,60500.398,62663.250,59992.555,60121.398,59292.668,59978.082,61409.000,60923.332,61289.801,61464.168,61265.500,59106.582,59676.625,57671.555,55939.000,51710.668,50565.000,57618.812,55273.625,55735.500,49494.777,52743.562,53140.500,52655.562,52949.562,53809.938,53770.188,51655.812,48771.000,1933.000,1913.625,1937.750,2166.688,61076.688,60994.668,61388.332,58865.332
