,БС,БС,БС,БС,БС
,count,mean,std,amin,amax
БС - реал,,,,,
1.2426e-06,5,-1.3458170147306637e-06,1.5815352712371084e-06,-4.060701922671729e-06,-2.9570805770049523e-07
2.4852e-06,6,-3.0242259470905934e-07,1.57549686696893e-06,-2.864070556038848e-06,1.1881373114175204e-06
4.905e-06,4,2.479915119422303e-06,1.5429912268371017e-06,2.052664350253012e-07,3.6087248852996276e-06
9.81e-06,5,1.148458696833131e-05,2.0109983481500487e-06,8.38560439287735e-06,1.365810096000564e-05
1.962e-05,5,2.3006235816215777e-05,1.359149163963573e-06,2.122775756962556e-05,2.458884762175335e-05
3.924e-05,7,4.334236204976408e-05,1.2452974839268e-06,4.17388182401065e-05,4.5249956758170025e-05
7.848e-05,8,8.362577101870578e-05,1.3864944153694226e-06,8.193110541704749e-05,8.537396701770224e-05
0.00015696,8,0.00015259942115985177,3.2991769556748757e-06,0.0001485603474122776,0.00015793843013244883
