 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72
1,62809.199,60121.750,60212.250,55047.168,52513.500,46413.875,38120.465,25974.584,62452.062,62016.500,61735.938,58574.375,54511.500,48300.250,38591.312,25504.125,61571.062,61371.875,60418.312,58300.438,55029.562,47685.938,37754.000,24889.812,60690.438,60924.438,60538.812,57313.875,54609.375,47900.812,38059.625,25211.625,60026.668,59698.223,60474.332,56182.000,51935.223,47847.445,38341.223,25319.111,58428.668,60661.555,58335.223,54615.777,53387.891,47092.832,37975.000,25265.223,56164.250,54758.082,53534.168,48683.000,50539.125,44168.375,35047.000,22339.334,55259.312,54245.188,53074.938,50309.875,46300.000,40834.875,31392.562,19571.875,1834.875,2025.688,2174.188,2065.750,63688.750,61904.555,61829.875,60749.332
2,63075.199,60186.375,61083.250,57713.000,56974.918,53763.750,50236.398,41807.250,62277.562,62028.188,62351.312,61011.562,59209.938,56050.062,50845.875,40978.438,60250.062,60370.062,59911.500,59815.062,58519.812,53959.500,49040.438,39794.125,58179.500,58721.250,58851.062,57508.875,56672.812,53134.438,47960.000,39335.812,54802.445,54678.445,55719.777,53376.332,50958.000,50167.445,46114.000,37421.445,48093.777,49936.109,48616.668,46841.109,47376.223,44980.832,41462.332,34204.332,37622.168,36503.668,36671.000,34661.000,36691.500,34623.500,31665.562,25416.666,26096.562,26306.500,25431.875,24734.438,24225.125,22991.250,20425.312,16582.625,2250.000,2139.250,2560.812,2283.812,64473.250,62603.445,62425.500,61398.445
3,64265.898,61648.750,63413.625,60419.000,61183.000,60120.375,60694.602,57877.250,64219.625,64263.000,64968.312,64802.625,64154.750,63200.938,61917.938,57112.312,62798.875,63258.312,63299.875,64171.562,64207.000,61400.188,60632.125,56674.500,61663.062,62624.000,63362.938,62989.812,63104.750,62066.688,60288.938,57089.875,60770.891,60838.555,62838.332,60953.000,59354.777,60696.668,60389.109,56041.223,58174.668,60953.223,59423.445,58145.777,60501.891,58976.668,59324.223,56215.000,54402.668,52768.582,52943.000,49807.500,56432.875,54659.438,53841.125,48734.000,51012.125,50383.125,50030.688,49362.125,48616.750,48163.438,45808.688,40823.812,2198.438,2010.312,2464.875,2265.875,65476.418,63701.109,63589.000,62299.668
