 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72
1,65503.688,64844.184,62537.906,55809.047,49145.617,38626.617,26338.143,16444.285,65149.523,63879.094,62070.285,55399.809,48211.953,37827.191,26001.953,16000.096,63550.477,61985.430,60288.191,51760.855,46978.762,37640.617,24743.000,15477.904,61612.238,61137.906,59714.809,53460.000,46871.617,37062.191,24757.381,15178.000,62875.145,61780.570,59723.285,53384.238,46641.047,36579.094,24865.762,15527.238,61477.809,60348.250,58388.000,52669.125,46181.250,35752.668,24900.857,15154.857,55867.047,54584.000,52315.094,46684.094,41536.617,33168.715,22246.238,14132.000,50672.383,49690.855,47414.668,42806.906,37807.668,29998.523,20227.047,12902.143,3785.238,3733.667,3725.524,3850.238,63233.953,63383.383,62320.332,62217.715
2,65449.500,65226.090,64179.523,60714.191,57546.668,51167.383,41875.715,30018.000,64028.855,63116.094,62654.285,59555.477,55710.477,49548.906,40887.906,29042.857,60501.715,59562.617,59110.668,55261.383,52789.145,47708.430,38436.809,27788.096,56227.047,55839.617,55485.809,52786.332,49624.906,44902.617,36490.617,26259.762,50899.332,50406.000,49571.383,47342.570,44720.762,39964.668,33279.762,24838.619,41440.383,40508.188,40414.375,38997.625,36991.625,32757.238,28202.953,20961.191,27752.334,26967.143,26548.191,24943.000,24111.857,22363.523,18874.953,15278.619,16839.047,16723.762,16116.762,15435.810,15219.286,13939.523,12370.096,10648.143,4110.952,4049.524,4225.952,4328.714,63977.762,64174.715,62976.750,63013.332
3,65532.062,65535.000,65530.668,65433.238,65530.570,64520.809,60246.906,54086.855,65494.953,65408.000,65512.238,65496.617,65449.430,63205.953,59487.285,53255.238,65220.145,64980.715,65404.000,64373.809,63596.383,61801.762,57736.809,51791.145,64068.523,64225.047,64455.000,63485.285,62609.809,60806.523,57113.332,51380.762,63320.570,63491.715,63564.477,62634.523,61626.094,59707.523,56458.430,51195.332,60047.094,60034.688,60464.125,59989.312,59181.000,56964.523,54132.762,48901.523,53146.332,52353.383,51672.617,49884.617,50929.668,49808.000,46844.332,42421.332,43636.523,43374.238,42411.762,41678.477,42176.855,41216.477,38805.285,35574.570,4528.381,4510.524,4348.952,4591.333,65529.855,65519.094,64857.500,64524.906
