 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72
1,65515.000,65084.000,62606.715,55940.477,49227.617,38771.668,26396.904,16506.809,65280.523,63957.855,62231.145,55485.191,48312.953,37853.332,25973.096,15987.857,63671.906,62138.715,60382.906,51805.570,47075.715,37730.047,24779.143,15517.571,61744.809,61263.383,59725.855,53528.332,46904.332,37124.668,24776.381,15201.000,62994.906,61840.285,59754.047,53463.809,46707.762,36505.430,24857.572,15598.000,61600.668,60481.250,58488.438,52760.250,46251.938,35798.855,24948.523,15161.238,55947.000,54658.617,52429.238,46820.238,41628.668,33269.145,22266.334,14152.523,50752.809,49767.430,47482.523,42904.953,37841.238,30053.191,20287.666,12906.238,3681.857,3738.333,3775.190,3870.428,63291.570,63463.047,62320.918,62383.523
2,65463.000,65233.910,64182.477,60739.383,57541.047,51180.668,41875.523,30042.477,64116.094,63164.238,62653.715,59605.238,55717.047,49560.238,40872.383,29073.096,60587.855,59681.762,59187.570,55282.285,52847.145,47717.145,38470.191,27820.523,56258.000,55892.668,55460.285,52818.855,49652.809,44976.906,36493.383,26256.428,50967.191,50454.668,49591.477,47333.191,44731.570,39994.762,33297.523,24860.572,41554.332,40637.312,40468.875,39052.375,37035.188,32815.047,28285.143,21002.572,27749.477,26976.666,26514.619,24944.809,24128.000,22321.000,18868.334,15270.286,16807.666,16717.809,16161.952,15443.523,15228.952,13946.286,12353.477,10635.238,4079.667,4045.428,4231.619,4310.429,64017.191,64375.523,62965.250,63199.238
3,65522.812,65535.000,65531.477,65416.000,65532.047,64422.383,60141.809,54034.715,65500.953,65436.668,65499.953,65505.145,65473.383,63214.906,59507.762,53294.668,65271.617,65041.762,65431.383,64399.238,63668.238,61843.570,57777.762,51863.617,64162.953,64293.477,64498.953,63513.383,62622.094,60854.383,57110.953,51391.094,63374.383,63494.855,63531.715,62631.047,61633.668,59654.809,56443.000,51156.285,60151.332,60149.312,60540.625,60022.438,59187.188,57050.809,54197.285,48946.523,53072.570,52242.047,51553.809,49871.285,50991.668,49820.855,46872.332,42493.715,43685.285,43410.383,42452.953,41733.762,42195.238,41208.809,38829.047,35599.145,4529.286,4441.619,4376.952,4517.238,65529.383,65517.285,64827.332,64627.855
