 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72
1,65510.812,65062.184,62758.285,55940.238,49210.145,38663.809,26458.428,16490.477,65267.047,63955.145,62180.809,55428.570,48207.430,37812.047,25928.904,15993.190,63595.383,62035.000,60260.430,51727.953,47003.332,37640.145,24727.619,15510.904,61594.953,61101.430,59625.238,53372.094,46764.809,36968.809,24693.523,15179.857,62970.617,61815.191,59740.285,53446.094,46628.000,36522.668,24842.523,15617.381,61562.047,60416.375,58517.312,52723.812,46268.250,35799.238,24924.428,15159.096,56008.047,54704.477,52476.762,46858.238,41601.477,33216.953,22261.096,14129.571,50673.145,49710.809,47442.383,42852.715,37728.094,29965.762,20212.238,12871.238,3803.952,3755.095,3812.857,3881.333,63214.000,63467.332,62366.082,62346.000
2,65443.875,65289.910,64194.383,60715.285,57578.430,51199.668,41839.430,30016.619,63995.145,63102.809,62604.094,59527.953,55650.000,49473.809,40839.383,29031.334,60553.238,59575.762,59118.238,55226.809,52789.430,47678.906,38439.809,27784.334,56203.809,55800.094,55400.332,52754.383,49549.668,44870.617,36430.047,26207.523,50847.094,50365.477,49480.000,47294.477,44651.762,39928.238,33201.430,24849.096,41477.668,40546.438,40454.500,39053.000,36987.062,32780.570,28209.953,20979.191,27726.762,26973.191,26553.047,24920.191,24062.000,22333.381,18864.477,15266.619,16810.904,16712.238,16131.619,15461.333,15214.857,13903.762,12354.857,10639.000,4170.000,4068.333,4302.905,4386.619,63876.285,64215.855,62856.750,63114.047
3,65533.312,65535.000,65531.094,65429.094,65529.332,64472.477,60175.855,54091.000,65510.668,65410.145,65517.047,65496.953,65458.855,63194.715,59531.285,53299.570,65231.191,64958.145,65380.094,64277.762,63533.145,61717.523,57696.047,51774.332,64006.523,64123.383,64374.715,63390.094,62471.238,60693.094,56973.145,51284.477,63342.668,63449.047,63526.570,62582.238,61574.668,59596.477,56405.953,51137.855,60107.285,60039.562,60468.125,59965.375,59112.500,56950.238,54067.906,48859.953,53117.855,52309.238,51657.047,49896.762,50956.145,49845.477,46913.430,42509.000,43596.855,43331.523,42397.523,41714.477,42063.383,41113.570,38765.430,35544.000,4607.048,4565.048,4493.810,4626.571,65526.953,65521.145,64830.832,64566.477
