 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72
1,65513.188,65071.816,62659.762,55904.953,49258.191,38702.383,26419.477,16472.285,65197.145,63849.191,62127.430,55410.477,48230.762,37807.570,25971.428,15980.714,63542.715,61981.094,60255.000,51765.000,46995.570,37677.617,24746.000,15480.904,61574.285,61108.000,59621.523,53418.285,46830.000,37037.047,24723.096,15167.571,62853.430,61754.191,59696.523,53377.477,46622.715,36567.094,24832.857,15536.429,61564.523,60428.875,58457.250,52753.125,46236.812,35816.668,24943.857,15123.477,55975.285,54677.191,52430.523,46781.715,41569.332,33199.668,22265.191,14138.000,50623.000,49712.906,47415.617,42804.715,37783.285,30001.238,20247.428,12872.286,3735.524,3731.190,3738.572,3881.905,63238.953,63411.285,62283.250,62290.570
2,65470.500,65330.363,64269.906,60797.953,57600.000,51264.477,41903.047,30049.904,64040.477,63127.332,62628.477,59585.762,55717.762,49514.285,40859.762,29055.428,60515.000,59562.191,59129.953,55256.332,52800.855,47709.477,38439.809,27801.953,56152.523,55793.047,55433.809,52756.332,49609.477,44896.617,36466.430,26242.477,50803.383,50359.906,49527.191,47293.145,44679.191,39948.809,33233.383,24824.523,41480.094,40555.375,40417.188,39025.188,37012.438,32769.668,28202.334,20951.477,27787.238,27014.047,26595.762,24973.047,24105.334,22350.191,18868.809,15286.714,16834.047,16723.572,16138.429,15445.381,15233.904,13937.238,12359.096,10637.381,4154.714,3985.143,4177.095,4338.524,63899.094,64234.477,62868.250,63044.094
3,65529.562,65535.000,65528.906,65438.715,65529.094,64491.383,60154.906,54017.145,65506.668,65403.332,65518.383,65502.000,65467.906,63167.953,59493.191,53290.285,65199.762,64921.906,65372.285,64314.191,63602.809,61766.855,57746.000,51777.430,63982.332,64137.000,64416.430,63446.191,62535.000,60764.477,57043.668,51322.238,63277.191,63399.953,63522.000,62601.383,61570.430,59595.523,56386.332,51130.000,60000.285,60014.000,60453.000,60017.375,59206.750,56969.430,54082.145,48884.477,53183.953,52243.477,51613.145,49872.000,50912.332,49797.238,46835.617,42372.570,43623.383,43339.145,42330.383,41658.715,42147.238,41172.145,38754.094,35539.094,4496.095,4512.667,4376.238,4570.619,65527.809,65521.855,64779.668,64490.809
