 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72
1,65511.000,64994.184,62648.762,55861.953,49118.094,38640.332,26403.477,16485.334,65170.477,63826.332,62059.000,55368.668,48243.906,37777.523,25914.047,15991.381,63575.332,62047.000,60287.430,51735.332,46997.000,37660.668,24768.143,15496.571,61502.668,61047.477,59527.238,53361.617,46777.145,36951.383,24662.096,15139.952,62813.477,61711.668,59597.762,53296.668,46607.145,36490.047,24780.285,15552.286,61534.715,60413.188,58365.562,52600.125,46203.250,35767.285,24881.477,15149.667,55893.094,54604.145,52376.238,46794.191,41532.238,33143.000,22266.428,14115.477,50613.332,49687.570,47385.855,42837.953,37713.047,29946.619,20203.857,12869.571,3681.667,3737.476,3736.238,3822.476,63137.383,63355.953,62251.500,62259.145
2,65456.938,65191.000,64138.430,60673.906,57498.762,51147.855,41824.809,30023.238,63942.430,62999.094,62531.285,59475.953,55647.191,49460.953,40778.332,29007.334,60425.238,59496.617,59029.855,55147.145,52716.953,47626.238,38382.191,27721.523,56128.855,55694.523,55363.477,52714.285,49556.238,44847.000,36432.715,26203.904,50789.383,50318.145,49445.285,47250.762,44639.094,39870.715,33213.430,24818.666,41455.953,40515.188,40423.188,39044.688,37007.812,32745.953,28234.096,20966.477,27724.191,26966.572,26544.428,24932.572,24088.666,22295.428,18837.666,15265.238,16788.715,16717.191,16106.286,15420.429,15215.333,13904.810,12348.429,10628.143,4051.572,4027.238,4225.238,4311.905,63876.238,64206.809,62840.418,63036.523
3,65529.750,65535.000,65531.809,65429.332,65531.715,64402.238,60107.145,54008.332,65492.715,65417.809,65505.000,65501.191,65455.383,63144.570,59452.668,53279.477,65190.238,64974.191,65396.809,64278.430,63565.762,61761.809,57705.000,51783.953,63984.715,64093.238,64322.477,63365.430,62486.430,60724.000,56986.383,51261.191,63237.855,63367.906,63404.238,62502.715,61478.762,59549.383,56320.617,51026.477,59944.715,59906.938,60321.375,59838.938,58979.000,56890.191,54003.855,48809.238,53130.285,52278.047,51601.145,49866.000,50938.383,49776.094,46829.809,42398.332,43615.285,43349.906,42381.906,41683.145,42046.477,41128.000,38699.000,35529.047,4377.429,4443.429,4301.381,4526.762,65528.047,65511.285,64740.250,64438.145
