 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72
1,65535,65535,65465.762,62213.094,57870.238,50525.094,39829.855,27179.666,65347.953,65522.906,64970.715,60969.617,56534.617,49306.906,39196.047,26580.666,65081.953,64499.668,63353.094,60228.668,55918.953,49223.762,37954.285,25425.477,64007.668,64007.570,62970.145,59929.855,55909.570,48614.762,38505.855,25451.666,65050.000,64748.000,63446.238,59943.430,55469.855,49276.094,38624.094,26018.762,63892.383,64052.562,63002.375,59470.812,55174.188,48071.570,38128.094,25225.285,60270.477,59471.332,57206.668,53573.094,50979.477,44820.477,34870.855,23310.857,55547.906,55004.523,53474.570,50986.906,47789.855,42185.617,32814.094,21144.143,3889.905,3927.810,3791.286,3665.857,64116.383,63125.762,62977.668,62678.094
2,65535,65535,65531.617,65271.332,63187.047,59291.715,52486.809,43268.809,65331.285,65535.000,65504.047,63498.383,61455.953,57664.383,51544.715,42180.953,63916.523,63525.906,62979.047,61591.047,59820.953,56183.953,49570.383,40362.715,60924.191,61210.145,60699.332,59833.715,58149.523,54184.383,48608.094,39376.617,58806.430,58777.094,58182.000,56551.906,54668.715,51948.715,46501.238,37990.477,52056.430,52130.000,51946.125,50595.375,48892.938,46014.855,41649.523,33886.191,39716.809,39279.617,38463.762,37587.617,36718.809,34759.953,31100.477,26165.809,26410.666,26684.904,25665.000,25084.953,25188.572,23806.047,21481.904,17944.904,4255.238,4207.429,4153.429,4018.810,64649.715,63664.906,63336.168,63181.000
3,65535,65535,65535.000,65535.000,65535.000,65535.000,64921.430,61190.953,65388.570,65535.000,65535.000,65535.000,65530.617,65525.617,64114.906,60270.617,65535.000,65533.953,65525.523,65535.000,65535.000,65003.617,62574.430,58649.906,65204.570,65535.000,65529.906,65535.000,65488.094,64378.809,62363.047,58426.332,65535.000,65530.145,65535.000,65535.000,65404.906,64517.809,62434.191,58341.523,63768.145,64582.625,64871.938,64426.438,63966.562,62100.000,61027.332,56947.047,59588.477,58916.715,57628.000,56166.094,58048.477,56608.191,54519.855,51437.477,52294.332,52095.855,51223.430,50827.430,51411.809,50488.477,48657.285,45656.094,4768.333,4766.810,4421.143,4380.810,65535.000,65252.762,65467.000,64811.094
