;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;135;;;;;;;;;;;;;;;;;;;
variables;F0;F5;F10;F15;F20;F25;F30;F35;F40;F45;F90;F135;R0;R5;R10;R15;R20;R25;R30;R35;R40;R45;R90;R135;G0;G5;G10;G15;G20;G25;G30;G35;G40;G45;G90;G135;R-G0;R-G5;R-G10;R-G15;R-G20;R-G25;R-G30;R-G35;R-G40;R-G45;R-G90;R-G135
0.001;215.908;206.801;211.976;207.396;203.985;201.459;195.977;196.279;190.723;185.817;108.231;80.355;113.16;123.013;123.741;126.302;127.309;127.793;127.336;127.502;128.847;126.248;136.681;138.486;53.913;59.377;57.362;57.512;55.553;53.3;51.749;50.519;51.036;48.062;51.292;54.671;59.247;63.636;66.379;68.79;71.756;74.493;75.587;76.983;77.811;78.186;85.389;83.815
0.001;211.611;210.638;207.898;204.924;201.727;196.616;195.21;189.747;185.342;178.914;101.779;80.133;113.721;125.701;126.585;130.608;131.324;131.539;130.688;130.977;134.277;130.199;144.541;147.559;53.868;63.453;61.546;62.274;61.718;59.937;58.175;56.99;57.939;54.837;64.194;64.92;59.853;62.248;65.039;68.334;69.606;71.602;72.513;73.987;76.338;75.362;80.347;82.639
0.001;215.033;212.122;212.123;210.288;206.4;203.197;201.617;197.657;192.828;188.838;109.275;85.005;112.619;124.933;126.778;129.731;131.195;131.716;130.627;130.554;132.95;129.498;143.126;146.202;51.407;62.923;61.779;62.262;61.953;60.612;58.553;58.377;57.404;54.897;62.069;64.32;61.212;62.01;64.999;67.469;69.242;71.104;72.074;72.177;75.546;74.601;81.057;81.882
0.0005;217.678;214.876;212.176;208.094;206.855;203.231;199.235;196.392;193.956;190.438;141.458;88.211;118.306;125.377;124.611;128.128;128.557;128.267;126.94;127.311;129.025;126.231;133.658;140.232;59.705;62.926;59.849;59.84;57.713;55.447;53.905;52.575;52.441;49.067;48.03;53.812;58.601;62.451;64.762;68.288;70.844;72.82;73.035;74.736;76.584;77.164;85.628;86.42
0.0005;220.75;216.697;216.982;212.895;211.264;208.499;204.081;202.688;199.845;197.056;146.686;90.678;112.561;122.347;122.21;124.721;125.543;126.974;125.663;125.931;128.039;125.133;132.794;141.424;53.619;61.911;61.275;60.664;59.596;56.294;55.083;53.945;54.219;50.87;52.085;60.484;58.942;60.436;60.935;64.057;65.947;70.68;70.58;71.986;73.82;74.263;80.709;80.94
0.0005;219.207;211.687;217.862;213.009;211.178;209.449;204.778;204.245;201.534;197.475;151.296;91.989;114.707;123.41;122.956;125.983;126.776;127.048;126.841;126.726;127.794;125.236;132.259;140.879;56.311;61.782;58.691;57.448;55.787;53.184;51.225;50.151;50.741;47.107;46.958;52.694;58.396;61.628;64.265;68.535;70.989;73.864;75.616;76.575;77.053;78.129;85.301;88.185
0.0005;212.068;202.294;208.614;203.311;199.7;197.797;192.406;193.813;188.815;185.381;132.649;79.927;117.066;126.057;128.42;132.001;131.318;131.71;130.788;130.458;131.448;128.992;132.652;138.073;57.82;62.099;65.305;65.338;63.258;61.655;59.727;58.769;57.986;54.844;52.214;56.016;59.246;63.958;63.115;66.663;68.06;70.055;71.061;71.689;73.462;74.148;80.438;82.057
0.0005;216.457;214.931;212.715;210.294;207.439;204.222;202.509;197.364;194.367;191.208;134.773;86.19;118.455;130.638;128.956;131.475;132.126;131.692;130.979;130.96;133.853;129.754;139.703;147.433;60.2;68.191;62.637;63.319;61.289;58.859;56.773;56.088;57.05;52.705;55.038;60.89;58.255;62.447;66.319;68.156;70.837;72.833;74.206;74.872;76.803;77.049;84.665;86.543
0.0005;214.68;211.149;212.411;209.992;206.685;204.21;201.772;199.494;194.854;191.924;136.358;89.881;118.267;129.66;129.54;131.897;132.365;132.028;131.162;130.952;133.684;129.857;136.927;143.044;56.905;65.637;66.341;66.866;64.792;63.137;60.815;60.031;59.97;56.39;56.578;61.309;61.362;64.023;63.199;65.031;67.573;68.891;70.347;70.921;73.714;73.467;80.349;81.735
0.0002;216.325;213.841;212.325;208.251;207.086;203.517;200.119;197.262;194.704;191.501;152.101;94.85;116.043;123.598;123.723;126.474;127.334;127.215;126.476;126.783;127.989;125.468;129.063;136.581;56.171;61.911;59.709;58.84;56.767;54.686;52.171;50.989;51.502;47.571;44.258;51.442;59.872;61.687;64.014;67.634;70.567;72.529;74.305;75.794;76.487;77.897;84.805;85.139
